n_serie_equipo;url_certificado
1016305;https://drive.google.com/file/d/1-nkERNR9m2N-eQ98zWV7rk5stwzbikWC/view?usp=drive_link
1016320;https://drive.google.com/file/d/1i3FGt1gow-zNHFgFrMU4SZFT5LjAJOkY/view?usp=drive_link
1016328;https://drive.google.com/file/d/125kh48x30o6cdvTr-wFL3qt_EU-Fh-Yr/view?usp=drive_link
1016329;https://drive.google.com/file/d/1Y7StKXrKN16247cnpKTEkVCF7RYRc2DH/view?usp=drive_link
4264;https://drive.google.com/file/d/1WRsw_rY1NzYV0KR4uUH2xOHZRE5RzepE/view?usp=drive_link
459336;https://drive.google.com/file/d/1WbhTee9y2OoHIFquZ0yBBVqqEQQqgXrU/view?usp=drive_link
459337;https://drive.google.com/file/d/1WXGy0E_IlvAlb2P_DXBxeVfnoM3xt3Gj/view?usp=drive_link
459339;https://drive.google.com/file/d/1WlUsV_6ORzquO01eQCj4BTx6BE0GUr9r/view?usp=drive_link
52178;https://drive.google.com/file/d/1cfQRb8aP9Qi_8zD1YprJ7zHIh5WuiqCV/view?usp=drive_link
52507;https://drive.google.com/file/d/1sDQgyA3WXX9eP_8qWdMAJTEyeBjFFZRk/view?usp=drive_link
53909;https://drive.google.com/file/d/14osuscfTUxl4Leuyofdj5bkLlNdP0ZXc/view?usp=drive_link
53910;https://drive.google.com/file/d/15CvqptG6ZjXRsotyta0pigjYUzdRzRC2/view?usp=drive_link
53911;https://drive.google.com/file/d/1GkVQbP1GNfPnk-RQ7HSlEjpPJmCJNk6H/view?usp=drive_link
53921;https://drive.google.com/file/d/1cqq7VqI-4hEBMdRSHwTzLhCvxtmKF5N9/view?usp=drive_link
53923;https://drive.google.com/file/d/1uf-FIhFO_D33WDoYrpY3V5EmZb3JPX7v/view?usp=drive_link
53980;https://drive.google.com/file/d/1qFoYfwmlpFLNdNOzCRfZ35JMoJW4Jxrd/view?usp=drive_link
53985;https://drive.google.com/file/d/1tk-q9mliwvjBTPZejugwKpAIFapYLbEH/view?usp=drive_link
53988;https://drive.google.com/file/d/1vPc6Ck3um1V2M7qtrkm8WxmfV6_EIYD0/view?usp=drive_link
53990;https://drive.google.com/file/d/1dN7eeY0P9OnumFi7X8I4Ks0jpX6bHKNy/view?usp=drive_link
53992;https://drive.google.com/file/d/1vKJAI-P6clA65P1zZSmGgeSFLnt8j_Ao/view?usp=drive_link
53994;https://drive.google.com/file/d/1vnwH0eoMzSrPXzFpsTh4saTMPwmbEiVB/view?usp=drive_link
53995;https://drive.google.com/file/d/1vLLsL_yyrWmrggQqfmo_lDDm5pBFeMUN/view?usp=drive_link
53996;https://drive.google.com/file/d/1tryse5vb0O2PUTaNxGYNVoCFZgpXY77G/view?usp=drive_link
54054;https://drive.google.com/file/d/1ZkDKOM_8Mod6y9N3fxerMM-PC7Q6HJSN/view?usp=drive_link
541177;https://drive.google.com/file/d/1WsP77R_XiN7nD8_WWQx1JxxgvRfCfJM-/view?usp=drive_link
541184;https://drive.google.com/file/d/1WzYNLu6cniTgVCQJOrnlP11p8DGIV0Qw/view?usp=drive_link
541186;https://drive.google.com/file/d/1XBdyDcvoWzJ-4BmJagWj7eq57UsDCiYj/view?usp=drive_link
541187;https://drive.google.com/file/d/1XQsAZIAOLBllUH6NOQlN3FdpX6itgBBN/view?usp=drive_link
55382;https://drive.google.com/file/d/13mqW55Uw4kXEeTSbNlPiBeJgFKE0dvsq/view?usp=drive_link
55624;https://drive.google.com/file/d/159ePSk0w4iOHlBRzPXJrtqRRjrzaBvmQ/view?usp=drive_link
55628;https://drive.google.com/file/d/1_ziUUZE_w88_cfRHRgT_wxHRZ20inxuk/view?usp=drive_link
55630;https://drive.google.com/file/d/1g0PfDJGTeEdoykl3HBhEa1fBlgY5Klwv/view?usp=drive_link
55631;https://drive.google.com/file/d/1xCIe9lG4b-l4ojd4CP4yW1rh2fnnt_BM/view?usp=drive_link
55632;https://drive.google.com/file/d/1WF8mCpmjuqvmhrBLgpzA8V7VbjwZRArD/view?usp=drive_link
56007;https://drive.google.com/file/d/1b5Pd_gN3a8_OKbQlV6NELeeea8b19aRm/view?usp=drive_link
56009;https://drive.google.com/file/d/1bA7MKbyshZylm7Ollo6Zm6opE_Fer6K4/view?usp=drive_link
56056;https://drive.google.com/file/d/1vNI7_N9Ib484-3r8TaSWyk0ePMAJSj4S/view?usp=drive_link
56090276;https://drive.google.com/file/d/1Y8EhZkogxALqHsopXm1W_XmpTaO25ucB/view?usp=drive_link
56092;https://drive.google.com/file/d/1spQEaiPgx4WFglg7MlP1N_eWoWXlvVRN/view?usp=drive_link
56108;https://drive.google.com/file/d/1eARw7o5wD0SjLEtEAIpUizF5hoEaryHZ/view?usp=drive_link
56660;https://drive.google.com/file/d/1OyhISaI0X3jcJcy-n9xlrFA8DvCObQWV/view?usp=drive_link
56661;https://drive.google.com/file/d/1Oxd1_QGVDQiXUnz6QmM9V9-XBBlCbwZh/view?usp=drive_link
56663;https://drive.google.com/file/d/1PC4ycyuac9cbW_Mt0qSWRJzG5cebkQTx/view?usp=drive_link
56664;https://drive.google.com/file/d/1f6GTrTrD3Ml6-5MaWSlvoMI_JP6xgAjI/view?usp=drive_link
56669;https://drive.google.com/file/d/1aOU_KrDpAIMle856w8ozwCUVAMDE8M8F/view?usp=drive_link
56841;https://drive.google.com/file/d/10C_OM8mrP1UuOI7w4u9yIKudPzSM6jr8/view?usp=drive_link
56842;https://drive.google.com/file/d/1goDeetI01qHqRgS4c6o2CKHAPVZsZ7IW/view?usp=drive_link
686837;https://drive.google.com/file/d/1RgXYAs5NGaVcZ6qtiO5_mAihlXx6xptG/view?usp=drive_link
686838;https://drive.google.com/file/d/1FQgiKxRnWJ-lERmjEHpTd7xHs-fW05li/view?usp=drive_link
687366;https://drive.google.com/file/d/1-mYx-j_R9j36UTv_M4D_oCn_x9tI_Zp0/view?usp=drive_link
A13844;https://drive.google.com/file/d/1YK7-AKBt-cGL6Shi3wYXFhCxC_y7hGgZ/view?usp=drive_link
A14422;https://drive.google.com/file/d/1-nkERNR9m2N-eQ98zWV7rk5stwzbikWC/view?usp=drive_link
ANF/THT001;https://drive.google.com/file/d/11-Pf7-FCEHi-WR9mn5p1UkkAapqY8mgq/view?usp=drive_link
CJC/THT008;https://drive.google.com/file/d/1-OCdpEbYVBKNbTJF4X8utYWPKj3_Wyt9/view?usp=drive_link
PUQ/THT001;https://drive.google.com/file/d/10ZB1YhNHzSkpvW0_W-pAekvmpKr9utPi/view?usp=drive_link
SCL/THM001;https://drive.google.com/file/d/1YTi25bcPAIKVZAcmBvy082FSiPdWp2yL/view?usp=drive_link
SCL/THM002;https://drive.google.com/file/d/1YccE7DLKJ-d8bJYX_P8yA1lz2b9z-zKC/view?usp=drive_link
SCL/THT003;https://drive.google.com/file/d/10oOl5qnFyp_7Zh5k-ZcTMVGsu3MJc1eN/view?usp=drive_link
Sin información;https://drive.google.com/file/d/1A6Z479NwHR5swBa3TDmNPBzuMa7SO9Ee/view?usp=drive_link
T75251633001;https://drive.google.com/file/d/1Mb1tJd6XmtMLRLF-ihi_NWyq8JmW2uhr/view?usp=drive_link
T75451640008;https://drive.google.com/file/d/1fB5Wgcd4kfhB2jKn0Hhk23QMNW2jyCiL/view?usp=drive_link
T75451724001;https://drive.google.com/file/d/1T9-abKKmQRGSVHwzhANCTkHxENa9FEyP/view?usp=drive_link
T75451724002;https://drive.google.com/file/d/16PnKAsnRfM4aSNesIWcFahduDgK_0_p5/view?usp=drive_link
T75451738005;https://drive.google.com/file/d/1H4f6WOcHbr5GzlW6dEIZCZjLsHszT-Ty/view?usp=drive_link
T75451738008;https://drive.google.com/file/d/1eO3B26jAO1BWWuM4WXPk-qqVaEDr_G0l/view?usp=drive_link
T75451738009;https://drive.google.com/file/d/1B7NSBPg8XjIoO9yg8siHl5IGJ-Y-oFya/view?usp=drive_link
T75451738011;https://drive.google.com/file/d/1HxLNnAjiLTun6lgYwi7Cbv_zsP-XAB0R/view?usp=drive_link
T75451738012;https://drive.google.com/file/d/12vh1yzeSv3HieSzIpxI8Mpx0WKHeg-m1/view?usp=drive_link
T75451738013;https://drive.google.com/file/d/1tdjlBXaRyJO9WHNsXsoz4evdSDvZaGTQ/view?usp=drive_link
T75451803001;https://drive.google.com/drive/folders/11z6XTBgLBoJXd9nGyHpXLtVN512A3DBq?usp=drive_link
T75451901005;https://drive.google.com/file/d/1InNBHEiLgXYH5xE8csBgG1EUQDWcjGpk/view?usp=drive_link
TEH060144;https://drive.google.com/file/d/1irUFuB1ARmDWW1iDm6vnjVeOfzAp14No/view?usp=drive_link
TEI050006;https://drive.google.com/file/d/1QGZ2VslyJxrW38XM0MwOGZ-QPGpONK75/view?usp=drive_link
TEJ060021;https://drive.google.com/file/d/18m_uaBvyzXFisPqSLjA_M3d0ajb1TQfQ/view?usp=drive_link
TEJ060022;https://drive.google.com/file/d/1PsFmwRF0dJ3-3lSXg_fDGlO0VkaeUowW/view?usp=drive_link
TER020001;https://drive.google.com/file/d/1PF7WOyqOJYY9yhVo42bGA9F1uEnS0B49/view?usp=drive_link
TER020002;https://drive.google.com/file/d/1wH_yH0gpVTUUoRmvZXKEz_walfvDzQEH/view?usp=drive_link
TER060033;https://drive.google.com/file/d/19qSRUMRXTnOZ8saaAVfBm-4G_GH-ZQvN/view?usp=drive_link
TER060034;https://drive.google.com/file/d/1P_cGeLFeR3uTFQovzPufmf1t-uED_Zjy/view?usp=drive_link
TER070001;https://drive.google.com/file/d/129WPSPxRm8f3o_qbm0vcubB80vHHgy5k/view?usp=drive_link
TER080013;https://drive.google.com/file/d/12C8ntvaFlNMSwqR5FuGK45Az4lQdG8tQ/view?usp=drive_link
TER080014;https://drive.google.com/file/d/12A1kvwj_3l-XSURzH-pqn-ev-FlqEDcd/view?usp=drive_link
TER100004;https://drive.google.com/file/d/1qqxh3bPPhGBzUWhVHBplR1gfDiV9K5qU/view?usp=drive_link
TER100005;https://drive.google.com/file/d/1Pq6QutKCttN2xb324i2Ni9YTYKoDcaaR/view?usp=drive_link
TER100006;https://drive.google.com/file/d/1PnoZnOImh35embajyB9QiFWUUd1_MvIs/view?usp=drive_link
TER100007;https://drive.google.com/file/d/15UH5SNVo5LpxNAvcf3VLeNmTB968yhI4/view?usp=drive_link
TEV030124;https://drive.google.com/file/d/1QAJ1LEtsfWovH9mSXuA61x0QPhFriSB4/view?usp=drive_link
TEY090060;https://drive.google.com/file/d/1-AP-Frzu_ExNnR4IHmFRpht0TNq5BXx8/view?usp=drive_link
THNO/THM003;https://drive.google.com/file/d/1YpfwCdnhtjK86GIQXxXk0zdl-Vddaam8/view?usp=drive_link
TPE070018;https://drive.google.com/file/d/1-NmwI719T-KC8M9xLD62kK_eXiUAbcUs/view?usp=drive_link
TPG050026;https://drive.google.com/file/d/1T_qa-5HLn95E2zscpqQT0nILVjHiLnbf/view?usp=drive_link
TPG050027;https://drive.google.com/file/d/1JBebBamCrTfeykx_ndNuyIjxMc1WAUpo/view?usp=drive_link
